dictionary_form,definition,hiragana,polite_non_past,polite_non_past_negative,polite_past,polite_past_negative,て,なくて,negative_imperative,plain_non_past_negative,plain_past,plain_past_negative,volitional,り,たい,たくない,たくて,potential ,ば,negative_ば,passive,causative,causative_passive
食べる,to eat,たべる,食べます,食べません,食べました,食べませんでした,食べて,食べなくて,食べないで,食べない,食べた,食べなかった,食べよう,食べたり,食べたい,食べたくない,食べたくて,食べられる,食べれば,食べなければ,食べられる,食べさせる,食べさせられる
見る,to see,みる,見ます,見ません,見ました,見ませんでした,見て,見なくて,見ないで,見ない,見た,見なかった,見よう,見たり,見たい,見たくない,見たくて,見られる,見れば,,,,
会う,to meet,あう,会います,会いません,会いました,会いませんでした,会って,会わなくて,会わないで,会わない,会った,会わなかった,会おう,会ったり,会いたい,会いたくない,会いたくて,会える,会えば,合わなければ,会われる,会わせる,会わせられる
使う,to use,つかう,,,,,,,,,,,,,,,,,,,,,
聞く,to listen,きく,聞きます,聞きません,聞きました,聞きませんでした,聞いて,聞かなくて,聞かないで,聞かない,聞いた,聞かなかった,聞こう,聞いたり,聞きたい,聞きたくない,聞きたくて,聞ける,聞けば,聞かなければ,聞かれる,聞かせる,聞かせられる
歩く,to walk,あるく,,,,,,,,,,,,,,,,,,,,,
泳ぐ,to swim,およぐ,泳ぎます,泳ぎません,泳ぎました,泳ぎませんでした,泳いで,泳がなくて,泳がないで,泳がない,泳いだ,泳がなかった,泳ごう,泳いだり,泳ぎたい,泳ぎたくない,泳ぎたくて,泳げる,泳げば,泳がなければ,泳がれる,泳がせる,泳がせられる
脱ぐ,to take off,ぬぐ,,,,,,,,,,,,,,,,,,,,,
話す,to talk,はなす,話します,話しません,話しました,話しませんでした,話して,話さなくて,話さないで,話さない,話した,話さなかった,話そう,話したり,話したい,話したくない,話したくて,話せる,話せば,話さなければ,話される,話させる,話させられる
示す,to show,しめす,,,,,,,,,,,,,,,,,,,,,
待つ,to wait,まつ,待ちます,待ちません,待ちました,待ちませんでした,待って,待たなくて,待たないで,待たない,待った,待たなかった,待とう,待ったり,待ちたい,待ちたくない,待ちたくて,待てる,待てば,待たなければ,待たれる,待たせる,またせられる
打つ,to hit,うつ,,,,,,,,,,,,,,,,,,,,,
死ぬ,to die,しぬ,死にます,死にません,死にました,死にませんでした,死んで,死ななくて,死なないで,死なない,死んだ,死ななかった,死のう,死んだり,死にたい,死にたくない,死にたくて,死ねる,死ねば,死ななければ,死なれる,死なせる,死なせられる
遊ぶ,to play,あそぶ,遊びます,遊びません,遊びました,遊びませんでした,遊んで,遊ばなくて,遊ばないで,遊ばない,遊んだ,遊ばなかった,遊ぼう,遊んだり,遊びたい,遊びたくない,遊びたくて,遊べる,遊べば,遊ばなければ,遊ばれる,遊ばせる,遊ばせられる
呼ぶ,to call,よぶ,,,,,,,,,,,,,,,,,,,,,
編む,to knit,あむ,編みます,編みません,編みました,編みませんでした,編んで,編まなくて,編まないで,編まない,編んだ,編まなかった,編もう,編んだり,編みたい,編みたくない,編みたくて,編める,編めば,編まなければ,編まれる,編ませる,編ませられる
読む,to read,よむ,,,,,,,,,,,,,,,,,,,,,
走る,to run,はしる,走ります,走りません,走りました,走りませんでした,走って,走らなくて,走らないで,走らない,走った,走らなかった,走ろう,走ったり,走りたい,走りたくない,走りたくて,走れる,走れば,走らなければ,走られる,走らせる,走らせられる
ある,to have,ある,あります,ありません,ありました,ありませんでした,あって,なくて,ないで,ない,あった,なかった,X,なかったり,X,,,,,,,,
する,to do,する,します,しません,しました,しませんでした,して,しなくて,しないで,しない,した,しなかった,しよう,したり,したい,したくない,したくて,できる,すれば,しなければ,される,させる,させられる
面白い,to be interesting,おもしろい,面白いです,面白くないです,面白かったです,面白くなかったです,面白くて,面白くなくて,X,面白くない,面白かった,面白くなかった,X,面白かったり,X,X,X,X,面白ければ,面白くなければ,X,X,X
安い,to be easy,やすい,安いです,安くないです,安かったです,安くなかったです,安くて,安くなくて,X,安くない,,,X,,X,X,X,X,,,X,X,X
低い,to be short,ひくい,,,,,,,,,,,,,,,,,,,,,
綺麗な,to be pretty,きれいな,きれいです　,奇麗じゃありません,奇麗でした,奇麗じゃありませんでした,奇麗で,奇麗じゃなくて,X,奇麗じゃない,奇麗だった,奇麗じゃなかった,X,奇麗だったり,X,X,X,X,奇麗なら,奇麗でなければ,X,X,X
素敵な,to be great,すてきな,素敵です,素敵じゃありません,素敵でした,素敵じゃありませんでした,,素敵じゃなくて,X,素敵じゃない,,,X,,X,X,X,X,,,X,X,X
静かな,to be quiet,しずかな,,,,,,,,,,,,,,,,,,,,,
です,to be,です,です,じゃありません,でした,じゃありませんでした,で,じゃなくて,X,じゃない,だった,じゃなかった,X,だったり,X,X,X,X,なら,でなければ,X,X,X
